Handle,Title,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,SKU,16443 N 91st St
tequila-tuesday-soft-rayon-brief,#TequilaTuesday Brief,Size,L,Color,Grey,,,D302-GY-L,4
fireball-friday-soft-rayon-brief,#FireballFriday Brief,Size,S,Color,No Color,,,D305-NC-S,4
mercury-tanga,Mercury Tanga,Size,2XL,Color,Silver,,,H350-SI-2X,4
seductive-satin-thong,Seductive Satin Thong,Size,S,Color,Nude,,,K207-ND-S,4
nectar-dreamsicle-jock,Nectar Dreamsicle Jock,Size,XL,Color,Aqua,,,L353-AA-XL,4
soft-and-sexy-lace-tanga,Soft and Sexy Lace Tanga,Size,S,Color,Cerise,,,P133F-CE-S,4
mens-pleather-jock-briefs,Double Commando Jock,Size,S,Color,Black,,,P202-BK-S,4
mens-pleather-jock-briefs,Double Commando Jock,Size,XL,Color,Black,,,P202-BK-XL,4
mens-bikini-thong,Invisible Strut Thong,Size,M,Color,White,,,P421-WT-M,4
mens-bikini-cut-pouch-brief,Well-Endowed Brief,Size,S,Color,Turquoise,,,PX422-TQ-S,4
mens-jock-brief-undies,The BodyCon Jock Brief,Size,2XL,Color,White,,,Q277-WT-2X,4
mesh-tanga,Mesh Tanga - 2Xl,Size,2XL,Color,Blue,,,Q319-BL-2X,4
mesh-tanga,Mesh Tanga - 2Xl,Size,2XL,Color,Black,,,Q319-BK-2X,4
mens-ribbed-bikini-briefs,Essential Ribbed Bikini Brief,Color,Aqua,Size,2XL,,,R301-AA-2X,4
mens-ribbed-thongs,Essential Ribbed Thong,Color,White,Size,S,,,R302-WT-S,4
mens-ribbed-thongs,Essential Ribbed Thong,Color,Grey,Size,XL,,,R302-GY-XL,4
rayon-contrast-brief,Rayon Contrast Brief - 2XL,Size,2XLarge,Color,Orange,,,R380-OR-2X,4
locker-room-booty-shorts,Locker Room Booty Shorts,Size,XL,Color,Grey,,,S235-GY-XL,4
the-patriot-swim-trunk,The Patriot Swim Trunk,Size,Extra Large,Color,Navy Blue,,,S436-NV-XL,4
mens-nylon-frilly-brief-panties,Transparent Rip Stop Brief,Color,White,Size,M,,,T050-WT-M,4
mens-nylon-jogging-pants,The Weekend Jogger,Color,White,Size,M,,,T059-WT-M,4
rayon-boxer-brief,Rayon Boxer Brief - XL and 2XL only!,Size,2X Large,Color,Mimosa,,,U324-MI-2X,4
secret-satin-camisole,Secret Satin Camisole,Size,S,Color,Periwinkle,,,V535-PW-S,4
lace-garter,Lace Garter,Size,Large / XL,Color,Black,,,X1018-BK-L/XL,4
fishnets-and-lace-panty,Fishnets and Lace Panty,Size,Medium,Color,Black,,,X1278-BK-M,4
nitro-fishnet-top,Nitro Fishnet Top,Size,One Size,Color,White,,,X8278-WT-OS,4
nitro-fishnet-top,Nitro Fishnet Top,Size,One Size,Color,Black,,,X8278-BK-OS,4
smooth-satin-robe,Smooth Satin Robe,Size,S/M,Color,Black,,,Z002-BK-S/M,4
ruffles-bra,Ruffles Bra,Size,Small,Color,White,,,Z071-WT-S,4
daisy-mesh-thong,Daisy Mesh Thong,Size,XL,Color,Black,,,Z310-BK-XL,4
the-satin-tricot-brief,The Satin Tricot Brief,Color,Pink,Size,2XL,,,Z703-PK-2X,4
ooh-la-la-panty,Ooh La La Panty,Size,S,Color,Red,,,Z705-RD-S,4
elegant-gothic-lolita-maid-dress,Elegant Gothic Lolita Maid Dress,Size,Small,Color,Black,,,Z909-BK-S,4
funkadelic-womens-tanga,Funkadelic Women's Tanga,Size,Small,Color,Orange,,,Z922-OR-S,4
industrial-strength-fishnets,Industrial Strength Fishnets,Color,Black,Size,Large,,,X9040-BK-L,4
smooth-satin-and-lace-bra,Smooth Satin and Lace Bra,Color,Periwinkle,Size,Small,,,V536-PW-S,4
mens-fishnet-tank-top,Fierce Mesh Tank,Size,XL,Color,Hot Pink,,,P901-HP-XL,4
stunning-sun-brief,Stunning Sun Brief,Color,Neon Pink,Size,2XL,,,Q281-NP-2X,4
stunning-sun-brief,Stunning Sun Brief,Color,Neon Orange,Size,2XL,,,Q281-NO-2X,4
mens-yoga-leggings,The Space Grunge Leggings,Size,XL,Color,Psychedelic,,,L660-PY-XL,4
the-patriot-swim-trunk,The Patriot Swim Trunk,Size,2XL,Color,Navy Blue,,,S436-NV-2X,4
generic-product,Generic Product,Size,Large,Color,Red,,,A666-RD-L,4
rugby-rip-stop-short,Rugby Rip Stop Short,Color,White,Size,M,,,T056-WT-M,4
rugby-rip-stop-short,Rugby Rip Stop Short,Color,White,Size,L,,,T056-WT-L,4
mens-velvet-booty-boxer,Velvet Booty Boxer,Size,XL,Color,Grey,,,V366-GY-XL,4
polka-dot-panty,Polka Dot Panty,Size,3XL,Color,Red,,,P021-RD-3X,1
rio-night-satin-thong,Rio Night Satin Thong,Color,White,Size,L,,,T306-WT-L,3
striped-picot-panty,Striped Picot Panty,Size,S,Color,Orange,,,Z110-OR-S,3
mens-lace-cheeky-brief,The Lace Brazil Brief,Color,Cerise,Size,XL,,,Z291-CE1-XL,3
mens-sports-mesh-shorts,The Sports Mesh Shorts,Size,S,Color,Red,,,B324-RD-S,3
