Handle,Title,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,SKU,Westacott Rd
satin-opera-length-gloves,Satin Opera Length Gloves,Size,OS,Color,Black,,,D1705-BLK-OS,1
mens-satin-peony-robe,The Satin Peony Robe,Size,OS,Color,Cerise,,,Z006-CE-OS,0
mens-lace-cheeky-brief,The Chantilly Cheekster,Color,Navy,Size,2XL,,,Z754-NV-2X,1
mens-lace-cheeky-brief,The Chantilly Cheekster,Color,Navy,Size,XL,,,Z754-NV-XL,2
mens-lace-cheeky-brief,The Chantilly Cheekster,Color,Navy,Size,L,,,Z754-NV-L,3
mens-lace-cheeky-brief,The Chantilly Cheekster,Color,Navy,Size,M,,,Z754-NV-M,3
mens-lace-cheeky-brief,The Chantilly Cheekster,Color,Navy,Size,S,,,Z754-NV-S,2
mens-lace-cheeky-brief,The Chantilly Cheekster,Color,Periwinkle,Size,2XL,,,Z754-BL-2X,1
mens-lace-cheeky-brief,The Chantilly Cheekster,Color,Periwinkle,Size,XL,,,Z754-BL-XL,2
mens-lace-cheeky-brief,The Chantilly Cheekster,Color,Periwinkle,Size,L,,,Z754-BL-L,4
mens-lace-cheeky-brief,The Chantilly Cheekster,Color,Periwinkle,Size,M,,,Z754-BL-M,4
mens-lace-cheeky-brief,The Chantilly Cheekster,Color,Periwinkle,Size,S,,,Z754-BL-S,2
mens-lace-cheeky-brief,The Chantilly Cheekster,Color,Nude,Size,2XL,,,Z754-ND-2X,1
mens-lace-cheeky-brief,The Chantilly Cheekster,Color,Nude,Size,XL,,,Z754-ND-XL,2
mens-lace-cheeky-brief,The Chantilly Cheekster,Color,Nude,Size,L,,,Z754-ND-L,4
mens-lace-cheeky-brief,The Chantilly Cheekster,Color,Nude,Size,M,,,Z754-ND-M,4
mens-lace-cheeky-brief,The Chantilly Cheekster,Color,Nude,Size,S,,,Z754-ND-S,2
mens-lace-cheeky-brief,The Chantilly Cheekster,Color,Plum,Size,2XL,,,Z754-Plum-2X,1
mens-lace-cheeky-brief,The Chantilly Cheekster,Color,Plum,Size,XL,,,Z754-Plum-XL,2
mens-lace-cheeky-brief,The Chantilly Cheekster,Color,Plum,Size,L,,,Z754-Plum-L,4
mens-lace-cheeky-brief,The Chantilly Cheekster,Color,Plum,Size,M,,,Z754-Plum-M,4
mens-lace-cheeky-brief,The Chantilly Cheekster,Color,Plum,Size,S,,,Z754-Plum-S,2
smooth-satin-bodysuit,Smooth Satin Bodysuit,Color,Denim,Size,2XL,,,C141-DE-2X,0
smooth-satin-bodysuit,Smooth Satin Bodysuit,Color,Denim,Size,XL,,,C141-DE-XL,2
smooth-satin-bodysuit,Smooth Satin Bodysuit,Color,Denim,Size,L,,,C141-DE-L,4
smooth-satin-bodysuit,Smooth Satin Bodysuit,Color,Denim,Size,M,,,C141-DE-M,5
smooth-satin-bodysuit,Smooth Satin Bodysuit,Color,Denim,Size,S,,,C141-DE-S,3
smooth-satin-bodysuit,Smooth Satin Bodysuit,Color,Red,Size,2XL,,,C141-RD-2X,1
smooth-satin-bodysuit,Smooth Satin Bodysuit,Color,Red,Size,XL,,,C141-RD-XL,1
smooth-satin-bodysuit,Smooth Satin Bodysuit,Color,Red,Size,L,,,C141-RD-L,3
smooth-satin-bodysuit,Smooth Satin Bodysuit,Color,Red,Size,M,,,C141-RD-M,3
smooth-satin-bodysuit,Smooth Satin Bodysuit,Color,Red,Size,S,,,C141-RD-S,3
smooth-satin-bodysuit,Smooth Satin Bodysuit,Color,White,Size,2XL,,,C141-WHT-2X,1
smooth-satin-bodysuit,Smooth Satin Bodysuit,Color,White,Size,XL,,,C141-WHT-XL,2
smooth-satin-bodysuit,Smooth Satin Bodysuit,Color,White,Size,L,,,C141-WHT-L,6
smooth-satin-bodysuit,Smooth Satin Bodysuit,Color,White,Size,M,,,C141-WHT-M,6
smooth-satin-bodysuit,Smooth Satin Bodysuit,Color,White,Size,S,,,C141-WHT-S,3
smooth-satin-bodysuit,Smooth Satin Bodysuit,Color,Black,Size,2XL,,,C141-BLK-2X,1
smooth-satin-bodysuit,Smooth Satin Bodysuit,Color,Black,Size,XL,,,C141-BLK-XL,3
smooth-satin-bodysuit,Smooth Satin Bodysuit,Color,Black,Size,L,,,C141-BLK-L,5
smooth-satin-bodysuit,Smooth Satin Bodysuit,Color,Black,Size,M,,,C141-BLK-M,5
smooth-satin-bodysuit,Smooth Satin Bodysuit,Color,Black,Size,S,,,C141-BLK-S,3
the-satin-mini-thong,The Satin Mini Thong,Color,Denim,Size,2XL,,,C119-DE-2X,0
the-satin-mini-thong,The Satin Mini Thong,Color,Denim,Size,XL,,,C119-DE-XL,3
the-satin-mini-thong,The Satin Mini Thong,Color,Denim,Size,L,,,C119-DE-L,8
the-satin-mini-thong,The Satin Mini Thong,Color,Denim,Size,M,,,C119-DE-M,7
the-satin-mini-thong,The Satin Mini Thong,Color,Denim,Size,S,,,C119-DE-S,3
the-satin-mini-thong,The Satin Mini Thong,Color,Red,Size,2XL,,,C119-RD-2X,0
the-satin-mini-thong,The Satin Mini Thong,Color,Red,Size,XL,,,C119-RD-XL,2
the-satin-mini-thong,The Satin Mini Thong,Color,Red,Size,L,,,C119-RD-L,8
