Handle,Title,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,SKU,USA
shadow-stripe-bodysuit,Shadow Stripe Bodysuit,Size,2XL,Color,White,,,Z171-WT-2X,0
shadow-stripe-bodysuit,Shadow Stripe Bodysuit,Size,XL,Color,White,,,Z171-WT-XL,0
shadow-stripe-bodysuit,Shadow Stripe Bodysuit,Size,L,Color,White,,,Z171-WT-L,0
shadow-stripe-bodysuit,Shadow Stripe Bodysuit,Size,M,Color,White,,,Z171-WT-M,39
shadow-stripe-bodysuit,Shadow Stripe Bodysuit,Size,S,Color,White,,,Z171-WT-S,9
tartan-garter-skirt,Tartan Garter Skirt,Title,Default Title,,,,,Z695-BP-XL,0
the-ripstop-frilly-thong,The Ripstop Frilly Thong,Color,White,Size,2XL,,,T049-WT-2X,0
the-ripstop-frilly-thong,The Ripstop Frilly Thong,Color,White,Size,XL,,,T049-WT-XL,0
the-ripstop-frilly-thong,The Ripstop Frilly Thong,Color,White,Size,L,,,T049-WT-L,19
the-ripstop-frilly-thong,The Ripstop Frilly Thong,Color,White,Size,M,,,T049-WT-M,19
the-ripstop-frilly-thong,The Ripstop Frilly Thong,Color,White,Size,S,,,T049-WT-S,10
mens-ribbed-camisole,The Picot Ribbed Camisole,Color,Aqua,Size,2XL,,,Z433-AA-2X,4
mens-ribbed-camisole,The Picot Ribbed Camisole,Color,Aqua,Size,XL,,,Z433-AA-XL,6
mens-ribbed-camisole,The Picot Ribbed Camisole,Color,Aqua,Size,L,,,Z433-AA-L,2
mens-ribbed-camisole,The Picot Ribbed Camisole,Color,Aqua,Size,M,,,Z433-AA-M,4
mens-ribbed-camisole,The Picot Ribbed Camisole,Color,Aqua,Size,S,,,Z433-AA-S,3
the-bunny-short,The Bunny Boxer,Title,Default Title,,,,,Z106-BK-XL,0
the-bubblegum-zip-corset,The Bubblegum Zip Corset,Title,Default Title,,,,,X629-PK-S/M,0
mens-lace-ribbed-panty,The Picot Ribbed Panty,Color,Aqua,Size,2XL,,,Z432-AA-2X,0
mens-lace-ribbed-panty,The Picot Ribbed Panty,Color,Aqua,Size,XL,,,Z432-AA-XL,0
mens-lace-ribbed-panty,The Picot Ribbed Panty,Color,Aqua,Size,L,,,Z432-AA-L,0
mens-lace-ribbed-panty,The Picot Ribbed Panty,Color,Aqua,Size,M,,,Z432-AA-M,2
mens-lace-ribbed-panty,The Picot Ribbed Panty,Color,Aqua,Size,S,,,Z432-AA-S,3
satin-tricot-cami,Satin Tricot Camisole,Size,S,Color,White,,,Z422-WT-S,0
the-fabulous-feather-dressing-gown,Fabulous Feather Dressing Gown,Size,OS,Color,Black,,,Z004-BLK-OS,5
chiffon-robe-for-men,Chiffon Robe for Men,Size,L,Color,Black,,,Z008-BK-L,14
chiffon-robe-for-men,Chiffon Robe for Men,Size,M,Color,Black,,,Z008-BK-M,13
satin-high-waisted-tricot-brief,Satin High Waist Tricot Panty,Size,XL,Color,White,,,Z702-WT-XL,0
lace-and-satin-bra-for-men,Lace and Satin Whisper Bralette,Color,Pink,Size,2XL,,,V536-PK-2X,6
lace-and-satin-bra-for-men,Lace and Satin Whisper Bralette,Color,Pink,Size,XL,,,V536-PK-XL,4
lace-and-satin-bra-for-men,Lace and Satin Whisper Bralette,Color,Pink,Size,L,,,V536-PK-L,18
lace-and-satin-bra-for-men,Lace and Satin Whisper Bralette,Color,Pink,Size,M,,,V536-PK-M,21
lace-and-satin-bra-for-men,Lace and Satin Whisper Bralette,Color,Pink,Size,S,,,V536-PK-S,15
lace-and-satin-bra-for-men,Lace and Satin Whisper Bralette,Color,Periwinkle,Size,2XL,,,V536-PW-2X,11
lace-and-satin-bra-for-men,Lace and Satin Whisper Bralette,Color,Periwinkle,Size,XL,,,V536-PW-XL,10
lace-and-satin-bra-for-men,Lace and Satin Whisper Bralette,Color,Periwinkle,Size,L,,,V536-PW-L,19
lace-and-satin-bra-for-men,Lace and Satin Whisper Bralette,Color,Periwinkle,Size,M,,,V536-PW-M,24
lace-and-satin-bra-for-men,Lace and Satin Whisper Bralette,Color,Periwinkle,Size,S,,,V536-PW-S,16
lace-and-satin-bra-for-men,Lace and Satin Whisper Bralette,Color,Nude,Size,2XL,,,V536-ND-2X,10
lace-and-satin-bra-for-men,Lace and Satin Whisper Bralette,Color,Nude,Size,XL,,,V536-ND-XL,12
lace-and-satin-bra-for-men,Lace and Satin Whisper Bralette,Color,Nude,Size,L,,,V536-ND-L,28
lace-and-satin-bra-for-men,Lace and Satin Whisper Bralette,Color,Nude,Size,M,,,V536-ND-M,21
lace-and-satin-bra-for-men,Lace and Satin Whisper Bralette,Color,Nude,Size,S,,,V536-ND-S,10
lace-and-satin-bra-for-men,Lace and Satin Whisper Bralette,Color,Red,Size,2XL,,,V536-RD-2X,8
lace-and-satin-bra-for-men,Lace and Satin Whisper Bralette,Color,Red,Size,XL,,,V536-RD-XL,9
lace-and-satin-bra-for-men,Lace and Satin Whisper Bralette,Color,Red,Size,L,,,V536-RD-L,17
lace-and-satin-bra-for-men,Lace and Satin Whisper Bralette,Color,Red,Size,M,,,V536-RD-M,25
lace-and-satin-bra-for-men,Lace and Satin Whisper Bralette,Color,Red,Size,S,,,V536-RD-S,12
lace-and-satin-bra-for-men,Lace and Satin Whisper Bralette,Color,Black,Size,2XL,,,V536-BK-2X,9
lace-and-satin-bra-for-men,Lace and Satin Whisper Bralette,Color,Black,Size,XL,,,V536-BK-XL,10
lace-and-satin-bra-for-men,Lace and Satin Whisper Bralette,Color,Black,Size,L,,,V536-BK-L,12
lace-and-satin-bra-for-men,Lace and Satin Whisper Bralette,Color,Black,Size,M,,,V536-BK-M,20
mens-lace-boxers,Valentina Lace Short,Color,Red,Size,2XL,,,Z282-RED-2X,15
mens-lace-boxers,Valentina Lace Short,Color,Red,Size,XL,,,Z282-RED-XL,0
mens-lace-boxers,Valentina Lace Short,Color,Red,Size,L,,,Z282-RED-L,20
mens-lace-boxers,Valentina Lace Short,Color,Red,Size,M,,,Z282-RED-M,12
mens-lace-boxers,Valentina Lace Short,Color,Red,Size,S,,,Z282-RED-S,9
mens-lace-boxers,Valentina Lace Short,Color,Royal Blue,Size,2XL,,,Z282-RO-2X,0
